종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","5200","130","2.56","5000","5200","5000","227150","1160454230","235314346800","45252759"
"006840","AK홀딩스","8190","300","3.80","8330","8330","7910","26352","213592465","108497524590","13247561"
"027410","BGF","4480","75","1.70","4405","4510","4330","217831","967983192","428811223680","95716791"
"282330","BGF리테일","130300","5200","4.16","124300","131300","124000","102748","13217067800","2252092951800","17283906"
"138930","BNK금융지주","18680","250","1.36","18070","18730","17900","473920","8723415710","5796908976440","310327033"
"001460","BYC","51500","3750","7.85","47050","51500","46250","5158","247132850","321676725000","6246150"
"001465","BYC우","29450","850","2.97","28400","29500","27400","1167","32736200","63430882500","2153850"
"001040","CJ","206500","3500","1.72","198400","207000","197000","114355","23370011500","6025050087000","29176998"
"079160","CJ CGV","4765","-40","-0.83","4800","4800","4550","993560","4654261222","788999973990","165582366"
"00104K","CJ4우(전환)","181000","3100","1.74","177800","181000","173300","11131","1973223000","764998672000","4226512"
"000120","CJ대한통운","108200","200","0.19","107100","108200","104300","41005","4358509350","2468295620800","22812344"
"011150","CJ씨푸드","2720","30","1.12","2675","2730","2630","156212","421117532","97731702560","35930773"
"011155","CJ씨푸드1우","12620","-150","-1.17","12400","12680","12400","1611","20187990","2524000000","200000"
"001045","CJ우","90800","700","0.78","90000","90900","87900","6345","567509600","205228248400","2260223"
"097950","CJ제일제당","214500","-2000","-0.92","213000","218000","211000","38090","8171454250","3229122897000","15054186"
"097955","CJ제일제당 우","130100","-300","-0.23","130100","130400","128600","6453","834661200","172699033300","1327433"
"000480","CR홀딩스","4935","-20","-0.40","4955","4955","4875","26149","128406470","231404568150","46890490"
"000590","CS홀딩스","77900","-900","-1.14","78500","78600","76700","637","49452700","89934147800","1154482"
"012030","DB","1707","13","0.77","1685","1717","1640","584649","979380960","343403903631","201173933"
"005830","DB손해보험","172900","-3000","-1.71","172400","173600","166400","334691","56920630329","11996493600000","69384000"
"016610","DB증권","13550","10","0.07","13140","13560","13080","99954","1331096570","575148570950","42446389"
"000990","DB하이텍","83800","5900","7.57","78600","85300","76300","436469","35951376700","3645684474400","43504588"
"000300","DH오토넥스","4200","0","0.00","0","0","0","0","0","174035631000","41437055"
"001530","DI동일","20500","50","0.24","20400","20500","19950","27934","561702125","404450240000","19729280"
"015590","DKME","515","0","0.00","0","0","0","0","0","122045495160","236981544"
"000210","DL","62600","3200","5.39","59400","63100","58300","195279","11916690100","1311838338400","20955884"
"000215","DL우","28000","1450","5.46","26600","28250","26400","19286","530641025","47211220000","1686115"
